Andrew,Kuuby,Mikey,Joey,William,Evan,Jacob,Chris
Saquon Barkley,Adam Thielen,Christian McCaffrey,Ezekiel Elliott,Alvin Kamara,David Johnson,DeAndre Hopkins,Tyreek Hill
John Brown,Brandin Cooks,Todd Gurley II,JuJu Smith-Schuster,Julio Jones,Joe Mixon,Davante Adams,Odell Beckham Jr.
Dalvin Cook,Baker Mayfield,Patrick Mahomes,Michael Thomas,Mike Evans,Antonio Brown,Travis Kelce,Nick Chubb
Tyler Lockett,Melvin Gordon,Chris Godwin,Leonard Fournette,Chris Carson,Keenan Allen,James Conner,LeVeon Bell
Zach Ertz,Devonta Freeman,Amari Cooper,Mike Williams,T.Y. Hilton,Damien Williams,Kerryon Johnson,Evan Engram
Aaron Rodgers,Kyle Rudolph,Julian Edelman,Josh Gordon,David Montgomery,Robert Woods,Stefon Diggs,Cooper Kupp
Dante Pettis,Nick Foles,Alshon Jeffery,Drew Brees,George Kittle,Deshaun Watson,Phillip Lindsay,James White
Jarvis Landry,Will Fuller V,DeSean Jackson,David Njoku,Kenny Golladay,O.J. Howard,Aaron Jones,Tevin Coleman
Latavius Murray,Rams D/ST,Sony Michel,Derrick Henry,Mark Ingram II,Marlon Mack,Sterling Shepard,A.J. Green
Josh Jacobs,Broncos D/ST,Jared Cook,Texans D/ST,Jared Goff,Hunter Henry,Derrius Guice,Matt Ryan
Greg Zuerlein,DJ Moore,Jimmy Garoppolo,Delanie Walker,Donte Moncrief,Dede Westbrook,Bears D/ST,Darwin Thompson
Eric Ebron,Stephen Gostkowski,Noah Fant,Allen Robinson,Jordan Howard,Cam Newton,Calvin Ridley,Kareem Hunt
Matt Breida,Emmanuel Sanders,LeSean McCoy,Alexander Mattison,Ben Roethlisberger,Robby Anderson,Miles Sanders,Corey Davis
Vikings D/ST,Adam Vinatieri,Patriots D/ST,Sammy Watkins,DK Metcalf,Kalen Ballage,Russell Wilson,Christian Kirk
Tyler Boyd,C.J. Anderson,Matt Gay,Ryan Succop,Graham Gano,Chiefs D/ST,Trey Burton,Jaguars D/ST
Carson Wentz,Jordan Reed,Antonio Callaway,Marvin Jones Jr.,Chargers D/ST,Harrison Butker,Wil Lutz,Justin Tucker
