Player,Team,Pos
Saquon Barkley,NYG,RB
Christian McCaffrey,CAR,RB
Alvin Kamara,NO,RB
David Johnson,ARI,RB
Davante Adams,GB,WR
DeAndre Hopkins,HOU,WR
Ezekiel Elliott,DAL,RB
Odell Beckham Jr.,CLE,WR
Todd Gurley II,LAR,RB
Julio Jones,ATL,WR
Michael Thomas,NO,WR
Joe Mixon,CIN,RB
JuJu Smith-Schuster,PIT,WR
Nick Chubb,CLE,RB
Travis Kelce,KC,TE
Tyreek Hill,KC,WR
Josh Jacobs,OAK,RB
James Conner,PIT,RB
Dalvin Cook,MIN,RB
Mike Evans,TB,WR
LeVeon Bell,NYJ,RB
Antonio Brown,OAK,WR
Damien Williams,KC,RB
Aaron Jones,GB,RB
Keenan Allen,LAC,WR
Adam Thielen,MIN,WR
Chris Carson,SEA,RB
George Kittle,SF,TE
Patrick Mahomes,KC,QB
Kerryon Johnson,DET,RB
Julian Edelman,NE,WR
Zach Ertz,PHI,TE
Amari Cooper,DAL,WR
Stefon Diggs,MIN,WR
Devonta Freeman,ATL,RB
Leonard Fournette,JAC,RB
Marlon Mack,IND,RB
Robert Woods,LAR,WR
Sony Michel,NE,RB
David Montgomery,CHI,RB
Cooper Kupp,LAR,WR
James White,NE,RB
Melvin Gordon,LAC,RB
T.Y. Hilton,IND,WR
Mark Ingram II,BAL,RB
Chris Godwin,TB,WR
Brandin Cooks,LAR,WR
Tyler Lockett,SEA,WR
Deshaun Watson,HOU,QB
Derrick Henry,TEN,RB
Kenny Golladay,DET,WR
Tyler Boyd,CIN,WR
DJ Moore,CAR,WR
Derrius Guice,WAS,RB
Robby Anderson,NYJ,WR
Evan Engram,NYG,TE
Tevin Coleman,SF,RB
A.J. Green,CIN,WR
Duke Johnson Jr.,HOU,RB
Josh Gordon,NE,WR
Alshon Jeffery,PHI,WR
Mike Williams,LAC,WR
O.J. Howard,TB,TE
Aaron Rodgers,GB,QB
Baker Mayfield,CLE,QB
Carson Wentz,PHI,QB
Emmanuel Sanders,DEN,WR
Latavius Murray,NO,RB
Miles Sanders,PHI,RB
Phillip Lindsay,DEN,RB
Hunter Henry,LAC,TE
Dede Westbrook,JAC,WR
Vance McDonald,PIT,TE
Matt Ryan,ATL,QB
Will Fuller V,HOU,WR
Jordan Howard,PHI,RB
Royce Freeman,DEN,RB
Sterling Shepard,NYG,WR
Sammy Watkins,KC,WR
Allen Robinson,CHI,WR
Kyler Murray,ARI,QB
Jarvis Landry,CLE,WR
Kalen Ballage,MIA,RB
Rashaad Penny,SEA,RB
Christian Kirk,ARI,WR
Kenyan Drake,MIA,RB
Ben Roethlisberger,PIT,QB
Calvin Ridley,ATL,WR
Austin Ekeler,LAC,RB
